xmin	xmax	ymin	ymax	key	clickSelects	showSelected1
3.5	4.5	-4.3	-3.7	35	35	23
-1	-4.44089209850063e-16	-5.3	-4.7	36	36	23
-2.77555756156289e-16	1	-5.3	-4.7	37	37	23
1	2	-5.3	-4.7	38	38	23
2	3	-5.3	-4.7	39	39	23
-7.5	-6.5	-7.3	-6.7	40	40	23
-6.5	-5.5	-7.3	-6.7	41	41	23
-8	-7	-8.3	-7.7	42	42	23
-7	-6	-8.3	-7.7	43	43	23
-5	-4	-6.3	-5.7	44	44	23
-4	-3	-6.3	-5.7	45	45	23
3	4	-5.3	-4.7	46	46	23
4	5	-5.3	-4.7	47	47	23
-0.5	0.5	-0.3	0.3	1	1	24
-1	0	-1.3	-0.7	2	2	24
0	1	-1.3	-0.7	3	3	24
-1.11022302462516e-16	1	-2.3	-1.7	4	4	24
1	2	-2.3	-1.7	5	5	24
-2	-1	-2.3	-1.7	6	6	24
-1	-1.11022302462516e-16	-2.3	-1.7	7	7	24
-4	-3	-3.3	-2.7	8	8	24
-3	-2	-3.3	-2.7	9	9	24
-2	-1	-3.3	-2.7	10	10	24
-1	-6.66133814775094e-16	-3.3	-2.7	11	11	24
-3.5	-2.5	-4.3	-3.7	12	12	24
-2.5	-1.5	-4.3	-3.7	13	13	24
-3	-2	-5.3	-4.7	14	14	24
-2	-1	-5.3	-4.7	15	15	24
-2.5	-1.5	-6.3	-5.7	16	16	24
-1.5	-0.5	-6.3	-5.7	17	17	24
-5.5	-4.5	-4.3	-3.7	18	18	24
-4.5	-3.5	-4.3	-3.7	19	19	24
-3.33066907387547e-16	1	-3.3	-2.7	20	20	24
1	2	-3.3	-2.7	21	21	24
0.5	1.5	-4.3	-3.7	22	22	24
1.5	2.5	-4.3	-3.7	23	23	24
2	3	-3.3	-2.7	24	24	24
3	4	-3.3	-2.7	25	25	24
-5	-4	-5.3	-4.7	26	26	24
-4	-3	-5.3	-4.7	27	27	24
-7	-6	-5.3	-4.7	28	28	24
-6	-5	-5.3	-4.7	29	29	24
-7	-6	-6.3	-5.7	30	30	24
-6	-5	-6.3	-5.7	31	31	24
-1.5	-0.5	-4.3	-3.7	32	32	24
-0.5	0.5	-4.3	-3.7	33	33	24
2.5	3.5	-4.3	-3.7	34	34	24
3.5	4.5	-4.3	-3.7	35	35	24
-1	-4.44089209850063e-16	-5.3	-4.7	36	36	24
-2.77555756156289e-16	1	-5.3	-4.7	37	37	24
1	2	-5.3	-4.7	38	38	24
2	3	-5.3	-4.7	39	39	24
-7.5	-6.5	-7.3	-6.7	40	40	24
-6.5	-5.5	-7.3	-6.7	41	41	24
-8	-7	-8.3	-7.7	42	42	24
-7	-6	-8.3	-7.7	43	43	24
-5	-4	-6.3	-5.7	44	44	24
-4	-3	-6.3	-5.7	45	45	24
3	4	-5.3	-4.7	46	46	24
4	5	-5.3	-4.7	47	47	24
1.5	2.5	-6.3	-5.7	48	48	24
2.5	3.5	-6.3	-5.7	49	49	24
